userId,country,region
368,United States,California
381,United States,California
389,India,Karnataka
421,Thailand,Chon Buri
453,Brazil,State of Maranhão
463,Australia,Victoria
478,United States,Pennsylvania
626,United States,Ohio
650,United Kingdom,England
767,Thailand,NULL
808,Russia,Krasnoyarsk Krai
870,United States,NULL
937,Romania,Constan?a County
949,New Zealand,Wellington
988,Ireland,NULL
993,United States,California
1035,United States,California
1077,United States,Pennsylvania
1188,United Kingdom,England
1211,Germany,Saarland
1228,United States,Texas
1298,United States,California
1309,United States,New York
1335,Australia,Victoria
1388,United States,Wisconsin
1425,India,Karnataka
1455,Austria,Styria
1458,Australia,New South Wales
1475,Greece,NULL
1557,India,Karnataka
1602,United States,New Jersey
1653,United States,NULL
1744,United States,Maryland
1828,United States,NULL
1902,Ecuador,Pichincha
1941,United States,Florida
1961,Switzerland,NULL
2011,India,Maharashtra
2036,Netherlands,North Holland
2140,United States,NULL
2145,Portugal,Lisbon
2196,Canada,NULL
2242,United Kingdom,NULL
2474,Greece,NULL
2505,United States,Indiana
2538,India,Tamil Nadu
2549,United States,District of Columbia
2589,United States,Texas
2620,United States,New Jersey
2641,United States,Washington
2687,United States,Massachusetts
2702,Australia,Victoria
2726,Canada,NULL
2817,South Africa,Mpumalanga
2821,India,NULL
2825,Japan,Tokyo
2874,Germany,Berlin
2959,United States,Massachusetts
2997,Netherlands,Gelderland
3011,France,Île-de-France
3028,United States,New York
3077,United States,California
3090,Russia,NULL
3139,Germany,North Rhine-Westphalia
3144,United States,NULL
3230,Japan,Tokyo
3232,United States,Washington
3237,Belarus,Minsk Region
3244,India,Delhi
3256,Australia,Queensland
3258,United States,NULL
3270,Spain,Community of Madrid
3287,Spain,NULL
3293,United States,Maryland
3315,United States,NULL
3321,Denmark,NULL
3375,Netherlands,NULL
3455,Belgium,Flanders
3456,United Kingdom,England
3511,Argentina,Buenos Aires
3550,United States,California
3592,Canada,British Columbia
3626,Canada,British Columbia
3662,Greece,NULL
3716,United States,California
3719,Brazil,State of Rio Grande do Sul
3856,United States,New York
4012,Greece,NULL
4027,United States,California
4083,Brazil,Rio Grande do Sul
4126,Netherlands,South Holland
4160,Romania,Bra?ov County
